,Edad,Trabajo,Estado Civil,Fomación,Impago,Prestamo hipotecario,Prestamo Personal,Canal de contacto,Mes,Dia de la semana,num contactos esta campaña,num días último contacto,num contactos otras campañas,resultado campaña anterior,variación tasa empleo,euribor3m,contrata_fondos
18,28.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,,1,999,0,nonexistent,11,486,0
19,26.0,unemployed,single,basic.9y,no,yes,yes,cellular,jul,,4,999,0,nonexistent,14,496,0
20,41.0,unemployed,married,basic.9y,unknown,yes,no,telephone,apr,,1,999,1,failure,-18,1405,0
21,35.0,blue-collar,single,unknown,no,no,yes,telephone,jun,fri,1,999,0,nonexistent,14,4967,0
22,40.0,admin.,married,university.degree,unknown,yes,no,telephone,jul,,1,999,0,nonexistent,14,4963,0
23,32.0,technician,single,professional.course,no,no,no,cellular,jul,,1,999,0,nonexistent,14,4968,0
24,41.0,blue-collar,married,high.school,no,yes,yes,cellular,jul,,3,999,0,nonexistent,14,4962,0
25,34.0,entrepreneur,single,university.degree,no,yes,no,cellular,may,,2,999,0,nonexistent,-18,1344,0
26,49.0,technician,divorced,unknown,no,yes,yes,cellular,oct,,1,999,0,nonexistent,-34,754,0
27,37.0,admin.,married,,no,yes,no,cellular,apr,,1,2,1,success,-18,1365,0
28,35.0,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,,2,999,0,nonexistent,-18,1313,0
29,,blue-collar,single,basic.4y,unknown,no,no,telephone,jul,,5,999,0,nonexistent,14,4961,0
30,47.0,services,divorced,high.school,no,no,no,telephone,jun,,1,999,0,nonexistent,14,4961,0
31,46.0,admin.,married,university.degree,no,no,no,cellular,may,,2,999,0,nonexistent,-18,1327,0
32,27.0,technician,married,professional.course,no,yes,no,cellular,may,,1,999,0,nonexistent,-18,1299,0
33,29.0,technician,married,high.school,no,yes,no,cellular,jun,,3,999,0,nonexistent,-29,1268,1
34,32.0,services,divorced,basic.9y,unknown,no,no,cellular,jul,,2,999,0,nonexistent,14,4963,0
35,,blue-collar,married,basic.6y,unknown,no,no,cellular,may,,1,999,2,failure,-18,1334,0
36,29.0,blue-collar,married,basic.4y,no,yes,yes,cellular,jul,,1,999,0,nonexistent,14,496,0
37,47.0,technician,married,high.school,unknown,no,no,cellular,apr,,2,999,1,failure,-18,1405,0
38,44.0,blue-collar,married,basic.4y,no,yes,no,telephone,jun,,25,999,0,nonexistent,14,496,0
39,54.0,management,married,university.degree,no,yes,yes,cellular,aug,,11,999,0,nonexistent,14,4962,0
40,36.0,blue-collar,married,basic.9y,no,no,no,telephone,may,,2,999,0,nonexistent,11,486,0
41,42.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,,1,999,0,nonexistent,11,4857,0
42,44.0,blue-collar,married,,no,no,no,cellular,jul,,5,999,0,nonexistent,14,4961,0
43,72.0,retired,divorced,basic.6y,no,yes,no,cellular,nov,wed,2,999,0,nonexistent,-34,715,1
44,48.0,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,,3,999,0,nonexistent,14,4966,0
45,,management,married,high.school,unknown,yes,no,cellular,nov,,1,999,0,nonexistent,-1,4076,0
46,35.0,housemaid,married,basic.4y,no,yes,no,cellular,aug,,1,999,0,nonexistent,14,4965,0
47,,entrepreneur,married,basic.6y,no,yes,no,cellular,may,,3,999,1,failure,-18,1354,0
48,56.0,retired,married,basic.4y,unknown,yes,no,cellular,aug,,1,999,0,nonexistent,14,4967,0
49,42.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,,2,999,0,nonexistent,14,4959,0
50,31.0,admin.,single,university.degree,no,yes,no,cellular,may,,1,999,0,nonexistent,-18,1354,0
51,,technician,married,basic.9y,unknown,no,no,telephone,jun,,5,999,0,nonexistent,14,4958,0
52,33.0,blue-collar,married,high.school,unknown,yes,yes,cellular,may,mon,2,999,1,failure,-18,1354,0
53,31.0,blue-collar,married,,unknown,no,no,telephone,jun,,4,999,0,nonexistent,14,4864,0
54,,management,married,university.degree,no,yes,no,telephone,may,,1,999,0,nonexistent,11,4859,0
55,30.0,blue-collar,married,high.school,no,no,no,telephone,may,,4,999,0,nonexistent,11,4857,0
56,24.0,management,single,university.degree,no,yes,no,cellular,may,,4,999,1,failure,-18,127,0
57,24.0,admin.,married,high.school,no,no,yes,telephone,may,,1,999,0,nonexistent,11,4857,0
58,38.0,blue-collar,married,professional.course,no,yes,no,telephone,may,,4,999,0,nonexistent,11,4859,0
59,26.0,blue-collar,married,high.school,no,yes,no,telephone,jun,,12,999,0,nonexistent,14,4959,0
60,41.0,technician,married,,no,no,no,telephone,may,,1,999,0,nonexistent,11,4856,0
61,34.0,admin.,married,high.school,no,yes,yes,cellular,apr,,1,999,0,nonexistent,-18,1405,0
62,30.0,management,married,university.degree,no,no,no,cellular,mar,,1,999,0,nonexistent,-18,1811,1
63,37.0,admin.,married,,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-1,4021,0
64,68.0,retired,married,basic.4y,no,yes,no,cellular,jul,,1,999,0,nonexistent,-29,1029,0
65,31.0,admin.,single,high.school,no,no,no,cellular,jul,,2,999,0,nonexistent,14,4962,0
66,48.0,technician,divorced,,no,yes,no,cellular,apr,,1,999,0,nonexistent,-18,1365,0
67,,technician,married,professional.course,no,yes,no,telephone,may,,4,999,0,nonexistent,11,4857,0
68,,self-employed,single,university.degree,no,yes,no,telephone,may,,3,999,0,nonexistent,-18,1259,0
69,44.0,blue-collar,married,unknown,unknown,yes,no,telephone,may,,3,999,0,nonexistent,11,4857,0
70,28.0,unknown,single,unknown,unknown,yes,no,telephone,jun,,1,999,0,nonexistent,14,4866,0
71,50.0,management,married,,no,no,no,cellular,aug,,3,4,1,success,-29,883,0
72,33.0,entrepreneur,married,university.degree,no,no,no,cellular,nov,,1,999,0,nonexistent,-1,4076,0
73,45.0,services,married,professional.course,no,yes,no,telephone,may,,1,999,0,nonexistent,11,4857,0
74,40.0,management,married,university.degree,no,no,no,cellular,jul,,2,999,0,nonexistent,14,496,0
75,45.0,services,married,professional.course,no,no,no,telephone,aug,,18,999,0,nonexistent,14,4962,0
76,,technician,divorced,university.degree,unknown,no,no,telephone,may,,2,999,0,nonexistent,11,4858,0
77,54.0,blue-collar,married,professional.course,unknown,yes,yes,telephone,may,,3,999,0,nonexistent,11,4857,0
78,53.0,technician,divorced,professional.course,no,no,no,telephone,may,,1,999,0,nonexistent,11,4856,0
79,35.0,self-employed,single,university.degree,no,yes,no,cellular,jul,,1,999,0,nonexistent,14,4968,0
80,30.0,technician,single,professional.course,no,yes,no,cellular,aug,,1,999,0,nonexistent,14,4966,0
81,25.0,technician,married,professional.course,no,yes,no,telephone,jun,wed,2,999,0,nonexistent,14,4962,0
82,35.0,services,divorced,professional.course,no,no,yes,cellular,aug,,1,999,0,nonexistent,14,4963,0
83,54.0,admin.,married,,no,yes,no,cellular,mar,,1,999,0,nonexistent,-18,156,1
84,30.0,blue-collar,married,basic.6y,no,no,no,cellular,jul,mon,2,999,0,nonexistent,14,496,0
85,38.0,admin.,married,university.degree,unknown,yes,no,cellular,aug,,1,999,0,nonexistent,14,4963,0
86,35.0,admin.,married,university.degree,no,yes,no,cellular,oct,,1,999,1,failure,-34,74,0
87,47.0,blue-collar,married,professional.course,unknown,yes,no,telephone,may,,1,999,0,nonexistent,11,4856,0
88,32.0,blue-collar,single,high.school,no,yes,no,cellular,jul,,3,999,0,nonexistent,14,4962,0
89,27.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,,1,999,0,nonexistent,11,4856,0
90,40.0,blue-collar,married,basic.9y,no,unknown,unknown,telephone,nov,,1,999,0,nonexistent,-1,4245,1
91,31.0,admin.,married,high.school,no,no,no,telephone,may,,3,999,0,nonexistent,11,4857,0
92,42.0,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,,2,999,0,nonexistent,-18,1405,0
93,40.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,,4,999,0,nonexistent,-18,1327,0
94,31.0,admin.,single,high.school,no,yes,no,cellular,nov,,1,999,0,nonexistent,-1,412,0
95,,technician,married,basic.4y,unknown,no,no,telephone,jun,,2,999,0,nonexistent,14,4958,0
96,38.0,admin.,single,high.school,no,yes,no,cellular,apr,,1,6,1,success,-18,659,1
97,39.0,services,married,high.school,unknown,no,no,telephone,may,,2,999,0,nonexistent,11,4858,0
98,37.0,admin.,divorced,high.school,unknown,yes,yes,telephone,may,wed,5,999,0,nonexistent,11,4858,0
99,50.0,unemployed,married,professional.course,unknown,yes,yes,cellular,jul,,1,999,0,nonexistent,14,4962,0
100,33.0,blue-collar,single,basic.4y,no,yes,yes,cellular,apr,,1,999,0,nonexistent,-18,1365,1
101,41.0,blue-collar,married,basic.6y,no,unknown,unknown,telephone,jun,,1,999,0,nonexistent,14,4864,0
102,37.0,entrepreneur,married,basic.6y,unknown,unknown,unknown,telephone,may,fri,1,999,0,nonexistent,11,4857,0
103,25.0,student,single,high.school,no,no,no,cellular,apr,,1,999,0,nonexistent,-18,1415,0
104,35.0,admin.,married,high.school,unknown,no,no,cellular,jul,,1,999,0,nonexistent,14,4963,0
105,46.0,management,married,university.degree,no,no,no,cellular,jul,,2,999,0,nonexistent,14,4962,1
106,29.0,admin.,divorced,university.degree,no,no,no,telephone,jun,,3,999,0,nonexistent,14,496,0
107,,admin.,married,university.degree,no,yes,no,cellular,aug,,4,999,0,nonexistent,14,4962,0
108,48.0,entrepreneur,single,professional.course,no,yes,no,cellular,may,,3,999,0,nonexistent,-18,1334,0
109,31.0,self-employed,single,university.degree,no,no,no,cellular,oct,,1,999,0,nonexistent,-34,73,0
110,33.0,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,,6,999,1,failure,-18,1266,0
111,63.0,retired,divorced,university.degree,no,no,yes,cellular,jul,,1,999,1,failure,-29,1072,0
112,38.0,admin.,married,high.school,no,yes,no,cellular,nov,,2,999,0,nonexistent,-1,4153,0
113,34.0,admin.,divorced,high.school,no,no,no,cellular,nov,,2,6,3,success,-34,716,0
114,34.0,services,divorced,high.school,no,no,no,telephone,jul,,4,999,0,nonexistent,14,4962,0
115,47.0,management,married,university.degree,no,yes,no,telephone,may,,2,3,3,success,-18,682,0
116,27.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,,1,999,0,nonexistent,11,4857,0
117,24.0,admin.,single,university.degree,no,no,no,cellular,aug,,1,999,2,failure,-17,905,1
118,36.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,,3,999,0,nonexistent,-18,1281,0
119,29.0,services,single,high.school,unknown,no,no,telephone,jun,,2,999,0,nonexistent,14,4958,0
120,58.0,retired,married,basic.9y,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,14,4865,0
121,40.0,technician,married,,no,no,no,cellular,aug,,1,999,0,nonexistent,14,4968,0
122,31.0,admin.,single,university.degree,no,yes,no,cellular,aug,,8,999,0,nonexistent,14,4962,0
123,60.0,retired,married,basic.4y,unknown,no,no,cellular,aug,,3,999,0,nonexistent,14,4963,0
124,58.0,housemaid,married,basic.4y,unknown,yes,no,telephone,jul,,1,999,0,nonexistent,14,4961,0
125,32.0,blue-collar,single,basic.9y,no,yes,no,cellular,jul,,2,999,0,nonexistent,14,4961,0
126,54.0,admin.,divorced,university.degree,no,no,no,telephone,jun,,4,999,0,nonexistent,14,4961,0
127,43.0,technician,married,professional.course,unknown,yes,no,cellular,aug,,2,999,0,nonexistent,14,4965,0
128,48.0,retired,married,,unknown,no,no,telephone,jun,,8,999,0,nonexistent,14,4864,0
129,33.0,admin.,married,university.degree,no,yes,no,cellular,nov,,1,999,0,nonexistent,-1,4076,0
130,37.0,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,,2,999,0,nonexistent,14,496,0
131,35.0,services,divorced,,unknown,no,no,telephone,may,,2,999,0,nonexistent,11,4857,0
132,34.0,services,married,high.school,no,no,no,telephone,may,,1,999,0,nonexistent,11,486,0
133,30.0,technician,single,university.degree,no,yes,no,cellular,aug,,17,999,0,nonexistent,14,4962,0
134,38.0,admin.,married,basic.9y,unknown,yes,no,telephone,jun,,1,999,0,nonexistent,14,4961,0
135,29.0,technician,divorced,professional.course,unknown,yes,no,cellular,may,,5,999,1,failure,-18,1313,0
136,49.0,entrepreneur,married,,no,yes,no,cellular,apr,,1,999,0,nonexistent,-18,1405,0
137,,management,divorced,university.degree,no,no,no,cellular,aug,,1,999,0,nonexistent,-29,869,0
138,33.0,management,married,high.school,no,yes,no,cellular,jul,,2,999,0,nonexistent,14,4963,0
139,33.0,admin.,single,university.degree,no,yes,yes,telephone,apr,,1,999,0,nonexistent,-18,1415,0
140,42.0,management,married,university.degree,no,no,no,telephone,may,fri,1,999,0,nonexistent,11,4857,0
141,39.0,admin.,married,university.degree,no,no,no,telephone,jun,,1,999,0,nonexistent,14,4864,0
142,55.0,entrepreneur,married,university.degree,unknown,yes,yes,cellular,nov,,2,999,0,nonexistent,-1,4153,0
143,46.0,management,married,university.degree,unknown,yes,no,telephone,may,,3,999,0,nonexistent,11,486,0
144,55.0,blue-collar,divorced,basic.4y,unknown,no,yes,telephone,jun,,3,999,0,nonexistent,14,4864,0
145,42.0,entrepreneur,married,university.degree,no,yes,no,cellular,nov,,1,999,1,failure,-1,4021,0
146,24.0,student,single,high.school,unknown,yes,no,cellular,may,,1,999,1,failure,-18,1281,0
147,49.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,,1,999,0,nonexistent,14,4963,0
148,38.0,admin.,married,unknown,no,no,yes,cellular,jul,,3,999,0,nonexistent,14,4963,0
149,34.0,admin.,married,university.degree,unknown,no,no,cellular,aug,,1,999,0,nonexistent,14,4968,0
150,46.0,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,,1,999,0,nonexistent,14,4957,0
151,45.0,technician,married,professional.course,unknown,yes,no,cellular,aug,,5,999,0,nonexistent,14,4963,0
152,40.0,admin.,married,basic.9y,no,yes,no,cellular,jul,,4,999,0,nonexistent,14,4968,0
153,46.0,admin.,divorced,basic.9y,unknown,no,no,telephone,may,,1,999,0,nonexistent,11,4856,0
154,31.0,blue-collar,single,basic.9y,no,no,no,telephone,jun,,7,999,0,nonexistent,14,4962,0
155,57.0,self-employed,married,basic.9y,unknown,yes,yes,telephone,may,,1,999,0,nonexistent,11,4857,0
156,36.0,admin.,married,university.degree,no,no,no,cellular,may,,3,999,0,nonexistent,-18,1299,0
157,50.0,technician,married,,no,unknown,unknown,cellular,nov,,2,999,1,failure,-1,4153,0
158,,admin.,single,high.school,no,yes,yes,cellular,apr,,1,999,0,nonexistent,-18,1415,0
159,38.0,admin.,single,university.degree,no,yes,no,cellular,jul,,2,999,0,nonexistent,-29,914,0
160,50.0,admin.,married,university.degree,no,unknown,unknown,cellular,may,,1,999,1,failure,-18,682,0
161,42.0,blue-collar,married,basic.4y,no,yes,no,telephone,jun,,2,999,0,nonexistent,14,4866,0
162,31.0,technician,married,professional.course,no,yes,no,cellular,aug,,2,999,0,nonexistent,14,4965,0
163,27.0,unemployed,single,university.degree,no,yes,no,cellular,jul,,1,999,0,nonexistent,14,4961,0
164,,self-employed,divorced,high.school,no,yes,no,telephone,jun,,1,999,0,nonexistent,14,4865,0
165,26.0,housemaid,single,high.school,unknown,yes,yes,telephone,jul,,1,999,0,nonexistent,14,4963,0
166,30.0,blue-collar,single,high.school,unknown,yes,no,cellular,may,,1,999,0,nonexistent,-18,1327,0
167,39.0,self-employed,single,,no,yes,no,cellular,nov,,1,999,0,nonexistent,-1,4021,0
168,64.0,retired,married,,no,no,no,cellular,aug,,4,999,0,nonexistent,-29,849,1
169,36.0,management,married,university.degree,no,unknown,unknown,cellular,sep,,1,6,4,failure,-11,876,1
170,42.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,,4,999,0,nonexistent,11,4856,0
171,42.0,services,single,high.school,no,no,no,cellular,may,,2,999,0,nonexistent,-18,1327,0
172,40.0,admin.,divorced,,no,no,no,cellular,jul,,3,999,0,nonexistent,14,4963,0
173,34.0,services,married,high.school,no,no,yes,cellular,may,,2,999,1,failure,-18,1334,0
174,31.0,blue-collar,married,basic.6y,no,yes,yes,telephone,may,,2,999,0,nonexistent,11,486,0
175,49.0,admin.,single,university.degree,no,no,no,telephone,may,,3,999,0,nonexistent,11,4857,0
176,35.0,unemployed,divorced,,no,no,no,cellular,jul,,7,999,0,nonexistent,14,4958,0
177,60.0,admin.,married,unknown,unknown,no,yes,telephone,may,,2,999,0,nonexistent,11,4857,0
178,,admin.,divorced,basic.9y,no,no,no,cellular,nov,,1,999,0,nonexistent,-1,4021,0
179,32.0,management,married,professional.course,no,no,no,cellular,may,,1,999,1,failure,-18,1266,0
180,50.0,self-employed,married,,no,yes,yes,cellular,may,,6,3,1,success,-18,1354,1
181,41.0,admin.,married,university.degree,no,yes,no,cellular,apr,,6,999,0,nonexistent,-18,644,1
182,45.0,admin.,married,high.school,no,no,no,telephone,may,,2,999,0,nonexistent,11,4857,0
183,46.0,blue-collar,married,basic.6y,no,no,yes,telephone,jun,,2,999,0,nonexistent,14,4864,0
184,55.0,unknown,married,basic.4y,unknown,yes,no,telephone,may,,1,999,0,nonexistent,11,4857,0
185,33.0,technician,divorced,professional.course,no,yes,no,telephone,may,,1,999,0,nonexistent,11,4855,0
186,45.0,blue-collar,married,unknown,unknown,no,no,telephone,may,,1,999,0,nonexistent,11,4857,0
187,29.0,blue-collar,married,high.school,no,yes,no,cellular,may,,1,999,0,nonexistent,-18,1281,0
188,42.0,technician,married,,unknown,no,no,cellular,jul,,2,999,0,nonexistent,14,4957,0
189,39.0,housemaid,married,university.degree,no,yes,no,telephone,may,,2,999,0,nonexistent,11,4857,0
190,58.0,blue-collar,married,unknown,unknown,yes,no,cellular,jul,,4,999,0,nonexistent,14,4962,0
191,32.0,management,divorced,university.degree,no,yes,no,cellular,jul,,4,999,0,nonexistent,14,4961,0
192,44.0,technician,divorced,professional.course,unknown,yes,no,cellular,apr,,3,999,1,failure,-18,141,0
193,49.0,self-employed,married,professional.course,no,no,no,telephone,may,,2,999,0,nonexistent,11,4859,0
194,29.0,blue-collar,married,,no,yes,no,cellular,may,,4,999,0,nonexistent,-18,1266,0
195,51.0,management,married,university.degree,no,no,no,telephone,jun,,17,999,0,nonexistent,14,4962,0
196,36.0,admin.,married,university.degree,no,yes,no,cellular,aug,,8,999,0,nonexistent,14,4962,0
197,,management,single,university.degree,no,yes,no,cellular,apr,,1,999,0,nonexistent,-18,1392,1
198,31.0,management,single,university.degree,no,yes,no,cellular,aug,,1,999,0,nonexistent,14,4965,0
199,32.0,technician,married,unknown,no,yes,no,cellular,jul,,2,999,0,nonexistent,14,4963,0
200,58.0,self-employed,divorced,,no,no,no,telephone,jun,,1,999,0,nonexistent,14,4961,0
201,31.0,services,single,,no,yes,no,cellular,jul,,20,999,0,nonexistent,14,4963,0
202,32.0,blue-collar,married,professional.course,no,yes,no,cellular,may,,2,999,0,nonexistent,-18,125,0
203,43.0,unemployed,married,high.school,no,no,no,cellular,aug,,4,3,2,success,-29,873,0
204,48.0,admin.,divorced,professional.course,no,yes,no,telephone,may,,3,999,0,nonexistent,11,4859,0
205,28.0,admin.,single,high.school,no,yes,no,cellular,jul,,2,999,0,nonexistent,14,4963,0
206,52.0,services,unknown,professional.course,no,yes,no,telephone,jun,,2,999,0,nonexistent,14,4959,0
207,36.0,management,married,university.degree,no,no,no,telephone,jun,,1,999,0,nonexistent,14,4866,0
208,39.0,admin.,divorced,high.school,no,yes,yes,cellular,apr,,2,999,0,nonexistent,-18,141,0
209,39.0,blue-collar,married,unknown,unknown,yes,no,telephone,jul,,5,999,0,nonexistent,14,4961,0
210,50.0,management,married,university.degree,no,yes,no,telephone,oct,,1,999,1,failure,-34,754,0
211,29.0,admin.,single,university.degree,no,yes,no,cellular,nov,,1,999,0,nonexistent,-1,4021,0
212,49.0,technician,divorced,professional.course,no,yes,no,cellular,may,,3,999,0,nonexistent,-18,1291,0
213,36.0,blue-collar,married,basic.6y,no,no,no,cellular,nov,,1,999,0,nonexistent,-1,412,0
214,,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,,6,999,0,nonexistent,-18,1266,0
215,27.0,entrepreneur,single,university.degree,no,no,no,telephone,jun,,3,999,0,nonexistent,14,4961,0
216,31.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,14,4962,0
217,43.0,management,single,high.school,no,no,no,cellular,nov,,1,999,0,nonexistent,-1,4021,0
218,32.0,blue-collar,married,unknown,no,no,no,cellular,nov,,4,999,0,nonexistent,-1,4076,0
219,45.0,blue-collar,married,high.school,unknown,yes,no,cellular,aug,,2,999,0,nonexistent,14,4965,0
220,56.0,blue-collar,married,basic.4y,no,no,no,telephone,jun,,2,999,0,nonexistent,14,4959,0
221,38.0,admin.,married,high.school,no,unknown,unknown,telephone,may,,16,999,0,nonexistent,11,4858,0
222,35.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,,1,999,0,nonexistent,11,4855,0
223,30.0,admin.,single,university.degree,no,yes,no,cellular,aug,,1,999,2,failure,-29,881,0
224,46.0,management,married,university.degree,unknown,no,no,cellular,apr,,1,999,0,nonexistent,-18,1405,0
225,43.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,,4,999,2,failure,-18,1327,0
226,38.0,technician,married,university.degree,unknown,no,no,telephone,may,,2,999,0,nonexistent,11,4855,0
227,52.0,retired,married,,no,yes,no,telephone,nov,,2,999,0,nonexistent,-1,4076,0
228,30.0,technician,unknown,university.degree,no,no,no,cellular,oct,,2,16,1,success,-11,942,0
229,31.0,unemployed,married,high.school,yes,no,no,cellular,nov,,2,999,1,failure,-1,4153,0
230,31.0,blue-collar,single,basic.4y,unknown,yes,no,cellular,may,,1,999,0,nonexistent,-18,125,0
231,24.0,technician,single,professional.course,no,no,no,cellular,may,,1,999,1,failure,-18,1266,0
232,34.0,admin.,single,university.degree,no,yes,no,cellular,jul,,2,999,0,nonexistent,14,4961,0
233,48.0,admin.,married,unknown,no,no,no,cellular,aug,,1,999,0,nonexistent,14,4968,0
234,30.0,admin.,married,university.degree,no,yes,no,cellular,aug,,1,999,0,nonexistent,14,4963,0
235,23.0,blue-collar,single,high.school,unknown,yes,no,cellular,jul,,4,999,0,nonexistent,14,4962,0
236,20.0,entrepreneur,single,high.school,no,no,no,telephone,may,,3,999,0,nonexistent,11,4855,0
237,43.0,admin.,divorced,high.school,no,no,no,cellular,jul,,3,999,0,nonexistent,14,496,0
238,,services,single,high.school,no,no,no,cellular,may,,2,999,2,failure,-18,1299,0
239,58.0,unemployed,single,basic.4y,unknown,no,no,telephone,jun,,6,999,0,nonexistent,14,496,0
240,26.0,admin.,single,university.degree,no,yes,no,cellular,may,,5,999,0,nonexistent,-18,1291,0
241,35.0,admin.,married,high.school,unknown,yes,no,telephone,may,,14,999,0,nonexistent,11,4859,0
242,35.0,admin.,married,high.school,unknown,no,no,cellular,jul,,3,999,0,nonexistent,14,4962,0
243,59.0,admin.,divorced,professional.course,no,no,no,cellular,aug,,1,999,1,failure,-29,883,1
244,54.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,,1,999,0,nonexistent,11,4857,0
245,37.0,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,,2,999,0,nonexistent,14,4968,0
246,46.0,technician,divorced,professional.course,no,no,no,telephone,jun,,2,999,0,nonexistent,14,4962,0
247,52.0,services,married,high.school,unknown,no,no,cellular,jul,,6,999,0,nonexistent,14,4962,0
248,52.0,management,married,university.degree,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,-1,4153,0
249,32.0,student,single,university.degree,no,no,no,cellular,may,,1,999,0,nonexistent,-18,1313,0
250,33.0,services,married,basic.4y,no,no,no,telephone,may,,4,999,0,nonexistent,11,4857,0
251,33.0,technician,divorced,high.school,no,yes,no,cellular,may,,1,999,0,nonexistent,-18,1291,0
252,42.0,technician,single,unknown,no,no,no,telephone,may,,2,999,0,nonexistent,11,4857,0
253,38.0,blue-collar,divorced,unknown,no,yes,no,telephone,may,,2,999,0,nonexistent,11,486,0
254,,blue-collar,married,,unknown,yes,no,telephone,may,,1,999,0,nonexistent,11,4857,0
255,49.0,admin.,divorced,university.degree,no,no,no,telephone,may,,1,999,0,nonexistent,11,4857,0
256,30.0,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,,3,999,0,nonexistent,-18,1281,0
257,37.0,technician,married,professional.course,no,no,no,cellular,apr,,2,999,0,nonexistent,-18,1405,0
258,47.0,blue-collar,married,professional.course,no,no,no,cellular,jul,,2,999,0,nonexistent,14,4962,0
259,32.0,blue-collar,married,basic.4y,no,yes,no,telephone,nov,,8,999,0,nonexistent,-34,716,0
260,32.0,unemployed,married,university.degree,no,yes,no,cellular,jul,,2,999,0,nonexistent,14,4963,0
261,35.0,services,divorced,university.degree,no,yes,no,cellular,may,,1,999,0,nonexistent,-18,1299,0
262,36.0,management,divorced,university.degree,no,unknown,unknown,cellular,may,,1,999,0,nonexistent,-18,125,0
263,41.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,,2,999,0,nonexistent,-18,1334,0
264,48.0,blue-collar,married,basic.9y,no,yes,no,telephone,aug,,2,999,0,nonexistent,14,4964,0
265,43.0,technician,married,high.school,no,no,no,cellular,jul,,7,999,0,nonexistent,14,4957,0
266,57.0,technician,married,,no,no,no,telephone,may,,2,999,0,nonexistent,11,4864,0
267,28.0,entrepreneur,married,university.degree,unknown,no,no,cellular,apr,,2,999,0,nonexistent,-18,1405,0
268,30.0,services,single,high.school,unknown,no,no,telephone,jul,,18,999,0,nonexistent,14,4968,0
269,27.0,student,single,,no,no,no,cellular,may,,2,999,1,failure,-18,1354,0
270,44.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,,1,999,0,nonexistent,11,4856,0
